user_id,age_group,interests,travel_history,sustainability_preference,budget_level,preferred_activities,travel_style
1,18-24,"Wildlife,Food,Photography,Culture,Relaxation","34,40,24,25",8.1,5,"Volunteering,Surfing,Historical Sites",Solo
2,45-54,"Food,History","7,77,2,39,79,83,9,47,30",6.3,2,"Surfing,Museums,Hiking,Volunteering,Wildlife Watching",Family
3,45-54,"Beach,Mountains,Nature,History","82,96,64,15,16,23,43",7.2,1,"Museums,Cultural Tours,Swimming",Solo
4,65+,"Wildlife,Relaxation,Beach,Food","28,74",9.1,4,"Historical Sites,Cultural Tours,Volunteering,Hiking",Eco-conscious
5,18-24,"History,Adventure,Food,Mountains,Relaxation","35,6,90,24,14,51,46",5.4,4,"Volunteering,Museums,Cultural Tours,Surfing,Kayaking",Luxury
6,55-64,"Wildlife,History,Nature,Food,Beach",84,8.3,3,"Local Cuisine,Cultural Tours,Eco Tours,Swimming,Surfing",Cultural
7,25-34,"Culture,Photography,Relaxation,Mountains","82,59,73",4.0,1,"Historical Sites,Eco Tours,Cultural Tours,Wildlife Watching,Cycling",Budget
8,45-54,"History,Adventure,Mountains,Culture,Beach","81,21,47,26,16",5.3,2,"Swimming,Cycling,Surfing",Family
9,65+,"Beach,Adventure","53,22,17,72",8.7,3,"Museums,Eco Tours,Cycling",Cultural
10,55-64,"Nature,Photography,Adventure","13,97,51,1,79,80,92,64,93",4.9,5,"Wildlife Watching,Volunteering,Eco Tours,Cycling",Luxury
11,45-54,"Mountains,History,Culture,Relaxation,Food","36,47,20,31,11,17,14,83",7.1,4,"Eco Tours,Wildlife Watching,Kayaking,Hiking,Swimming",Luxury
12,65+,"Food,Photography,Nature,Adventure","97,60,17",4.8,4,"Local Cuisine,Historical Sites,Hiking",Luxury
13,45-54,"Adventure,Food,Beach,Culture,Relaxation","14,33,22,35",8.4,3,"Volunteering,Swimming,Surfing,Wildlife Watching,Historical Sites",Adventure
14,55-64,"Nature,Adventure","20,32,22,69,88,98,10",4.5,2,"Kayaking,Hiking,Historical Sites,Cultural Tours",Luxury
15,18-24,"Relaxation,Photography,History","22,61,25,88,51,10",5.2,1,"Hiking,Wildlife Watching",Luxury
16,45-54,"Culture,Mountains,Relaxation,Food","15,76,75,81,62,48,11",3.2,2,"Cycling,Swimming,Historical Sites",Cultural
17,25-34,"Wildlife,Mountains,Culture,Nature","41,62,35",8.6,4,"Cycling,Volunteering",Eco-conscious
18,18-24,"Wildlife,Photography,Nature","99,9,86,24,54,51,78,92",4.7,2,"Cycling,Hiking",Family
19,65+,"Food,Wildlife,Adventure,Beach","73,45,92,3",8.0,4,"Hiking,Eco Tours,Historical Sites,Museums",Cultural
20,55-64,"Beach,Relaxation,Nature,History,Adventure","68,62,13,20,37,14,49,5,31,59",6.4,3,"Eco Tours,Wildlife Watching,Hiking,Swimming,Local Cuisine",Budget
21,55-64,"Adventure,Nature","7,11,57,67,71,50,60,17",6.3,2,"Cycling,Historical Sites,Local Cuisine",Adventure
22,55-64,"Beach,Food,Wildlife","25,82,90,40,48,30,14",4.6,1,"Kayaking,Hiking,Cycling,Museums",Solo
23,18-24,"Relaxation,Adventure,Nature",41,6.0,4,"Wildlife Watching,Cycling,Eco Tours,Cultural Tours,Museums",Budget
24,35-44,"Relaxation,Culture,Nature,History","31,59,15,34,2,54,13,20,55,29",4.1,5,"Wildlife Watching,Kayaking,Volunteering,Historical Sites,Surfing",Family
25,18-24,"Relaxation,Nature,Photography,Culture,History","69,15,90,36,25,60",8.2,1,"Hiking,Eco Tours,Cultural Tours,Historical Sites",Cultural
26,25-34,"Mountains,History,Wildlife,Nature,Photography","61,89,74,22,4",6.0,4,"Volunteering,Museums",Family
27,45-54,"Photography,Relaxation,Wildlife,Culture,Mountains","73,77,89,52,40,30,90,57,91",8.9,2,"Historical Sites,Cycling,Wildlife Watching",Cultural
28,45-54,"Photography,Beach,Mountains,Relaxation","67,37,96,21,33,18,44",9.5,3,"Cultural Tours,Eco Tours,Kayaking",Eco-conscious
29,55-64,"Adventure,Photography,Nature,Culture","96,28,41,77",5.8,4,"Kayaking,Surfing,Eco Tours,Museums",Adventure
30,55-64,"Adventure,History","97,4,46,11,99,85,51,48,67",7.6,2,"Kayaking,Swimming,Volunteering,Cycling,Historical Sites",Eco-conscious
31,25-34,"Adventure,Culture","78,48",7.1,5,"Kayaking,Eco Tours",Budget
32,35-44,"Wildlife,Culture,History,Adventure","49,27,36,20,51,83,44",7.1,1,"Historical Sites,Hiking,Volunteering",Eco-conscious
33,35-44,"Nature,Photography,Relaxation","52,50,96,6,44,16,26",7.2,3,"Cultural Tours,Surfing",Solo
34,45-54,"History,Mountains,Culture","32,42,20,80",9.6,4,"Local Cuisine,Cycling",Eco-conscious
35,25-34,"Wildlife,Nature","92,69,80",9.2,4,"Kayaking,Cycling,Surfing",Eco-conscious
36,45-54,"Adventure,Relaxation,Culture,Beach","71,33,49,23,65,37",9.3,2,"Surfing,Eco Tours,Kayaking,Cycling,Hiking",Eco-conscious
37,65+,"Adventure,Mountains,Beach","63,72,98,61",5.2,2,"Museums,Swimming,Surfing",Family
38,65+,"Wildlife,History,Culture,Food,Adventure","75,54,25,60,70,64,61,42,46,6",8.5,3,"Wildlife Watching,Eco Tours,Cycling,Surfing,Cultural Tours",Eco-conscious
39,18-24,"Food,Beach,Relaxation","22,27,92,2,23,11,87",7.7,5,"Historical Sites,Kayaking,Hiking,Cycling,Volunteering",Luxury
40,25-34,"Mountains,Relaxation,History","1,6",5.0,2,"Cultural Tours,Kayaking,Local Cuisine,Eco Tours,Hiking",Solo
41,35-44,"History,Food,Nature,Photography","32,98,20,39,49",5.2,2,"Cultural Tours,Historical Sites,Hiking,Surfing,Wildlife Watching",Luxury
42,45-54,"Nature,Photography,Culture","14,77,85,19",9.2,4,"Wildlife Watching,Kayaking,Museums,Volunteering",Eco-conscious
43,65+,"Relaxation,Adventure,Food,Beach,Culture","19,64,49,70,2",7.8,3,"Surfing,Cycling,Volunteering,Hiking",Budget
44,35-44,"Nature,Wildlife,Food","9,10,25,11,30,43,90,55",8.6,2,"Wildlife Watching,Kayaking,Eco Tours,Museums,Surfing",Eco-conscious
45,25-34,"Relaxation,Nature,Adventure,Wildlife,Photography",43,6.9,2,"Kayaking,Local Cuisine",Adventure
46,55-64,"Relaxation,Adventure,History","32,84,59",3.3,5,"Wildlife Watching,Volunteering",Adventure
47,55-64,"Relaxation,Food","28,24,48",8.0,1,"Eco Tours,Wildlife Watching",Cultural
48,18-24,"Adventure,Photography,History,Wildlife,Mountains","99,34,78,69,18,61,19,62,71,39",8.5,5,"Museums,Kayaking,Historical Sites",Budget
49,45-54,"Culture,Mountains,Beach","7,67,11,88,28",3.1,2,"Museums,Swimming,Hiking,Kayaking,Volunteering",Budget
