user_id,age_group,interests,travel_history,sustainability_preference,budget_level,preferred_activities,travel_style
1,55-64,"Beach,Photography","97,53,76,90,68,54,80,79,27,39",4.3,3,"Local Cuisine,Cultural Tours,Volunteering,Kayaking",Solo
2,35-44,"Photography,Relaxation,Nature,Mountains","22,42,50,57,45,25,4",5.5,3,"Cultural Tours,Wildlife Watching,Eco Tours,Surfing,Hiking",Budget
3,35-44,"Mountains,Culture","100,45",7.6,4,"Museums,Cycling,Local Cuisine",Adventure
4,45-54,"Relaxation,Wildlife,Photography,Food",,5.7,4,"Museums,Historical Sites,Cycling,Cultural Tours,Eco Tours",Luxury
5,35-44,"Relaxation,Wildlife","65,92,37,23",4.6,3,"Surfing,Volunteering,Historical Sites,Local Cuisine,Wildlife Watching",Adventure
6,45-54,"Relaxation,Adventure,Photography,Beach","4,23,32,67,9,88,44,85",3.6,1,"Surfing,Volunteering,Eco Tours",Solo
7,18-24,"Mountains,Culture,Wildlife",53,9.9,1,"Local Cuisine,Kayaking,Museums,Eco Tours",Eco-conscious
8,25-34,"Mountains,Adventure,Nature,Food,Culture",,3.8,4,"Hiking,Eco Tours,Museums,Surfing,Local Cuisine",Solo
9,35-44,"Nature,Food,Photography","65,42,73,52",8.0,3,"Surfing,Eco Tours,Swimming,Kayaking,Local Cuisine",Budget
10,25-34,"Adventure,Mountains,History,Relaxation,Wildlife","88,66,75,4,30,79,41,99,70,46",4.3,3,"Cycling,Cultural Tours",Luxury
11,35-44,"Photography,Nature,Mountains","51,93,63,76,96,5,56,75,60,64",8.6,3,"Volunteering,Kayaking",Solo
12,45-54,"History,Food,Adventure,Nature,Culture","37,36,22,3,44,73,88,96,89,55",8.8,3,"Historical Sites,Volunteering,Museums",Eco-conscious
13,65+,"Culture,Food","54,16",6.5,5,"Cultural Tours,Eco Tours,Historical Sites,Hiking",Adventure
14,35-44,"Beach,Relaxation,Food,History,Culture","5,59,17,18,22",4.1,4,"Volunteering,Local Cuisine,Hiking,Museums",Adventure
15,45-54,"History,Relaxation,Mountains,Photography",29,7.3,4,"Surfing,Cultural Tours",Luxury
16,45-54,"Mountains,Nature","4,67,95,92,14,98,47",5.4,1,"Volunteering,Hiking,Museums",Cultural
17,55-64,"Mountains,History,Nature,Food","51,1,28,34,67,88,64,17,57,2",4.8,2,"Swimming,Wildlife Watching,Kayaking,Cultural Tours",Cultural
18,55-64,"Relaxation,Food,Adventure","79,59,14,37",6.2,1,"Local Cuisine,Eco Tours",Budget
19,65+,"Food,Wildlife","69,28,66,89,76,21,20,26,4",3.3,4,"Eco Tours,Hiking",Adventure
20,45-54,"Culture,Beach,Wildlife,Nature,History","78,36,60,84,32,59",4.5,2,"Hiking,Local Cuisine,Swimming",Luxury
21,65+,"Adventure,Relaxation,Beach,Photography","89,35",3.1,2,"Wildlife Watching,Surfing,Swimming",Budget
22,55-64,"History,Mountains,Photography,Wildlife",41,6.4,5,"Wildlife Watching,Local Cuisine",Family
23,18-24,"Mountains,History,Culture","82,54,11",6.7,3,"Historical Sites,Cultural Tours,Surfing,Kayaking,Wildlife Watching",Luxury
24,35-44,"Nature,Adventure,Mountains","95,98,36,73",7.4,1,"Cycling,Volunteering,Swimming",Eco-conscious
25,35-44,"Photography,History,Beach,Culture","67,49,84,57,45,19",5.8,5,"Swimming,Wildlife Watching,Local Cuisine,Museums,Eco Tours",Solo
26,25-34,"Adventure,Photography,Mountains,Beach,Wildlife",,3.4,1,"Surfing,Hiking,Eco Tours,Wildlife Watching,Kayaking",Solo
27,35-44,"Wildlife,Adventure,Mountains","73,87,96,2,29,43,63,11,89",7.0,5,"Historical Sites,Cultural Tours,Local Cuisine,Cycling,Wildlife Watching",Luxury
28,25-34,"Adventure,Beach,Nature,Food,Relaxation","74,99,66,91,27,51",6.5,2,"Kayaking,Local Cuisine,Cycling,Swimming,Historical Sites",Family
29,65+,"Mountains,Wildlife,Food,Adventure,Culture","77,87,11,35,32",9.4,2,"Historical Sites,Local Cuisine,Volunteering,Kayaking,Hiking",Eco-conscious
30,35-44,"Relaxation,Culture,Wildlife,Nature,History","7,13,28,50,11",4.0,3,"Cycling,Volunteering,Hiking",Cultural
31,25-34,"Culture,Relaxation,Nature,History,Wildlife","41,91,46,8,73,68,78,49",8.5,3,"Volunteering,Historical Sites",Cultural
32,55-64,"Culture,Mountains","94,50,66,57,47,49,60,71,29",4.2,5,"Historical Sites,Kayaking,Eco Tours",Adventure
33,65+,"Adventure,History",,6.6,2,"Swimming,Kayaking,Historical Sites,Hiking,Cultural Tours",Budget
34,35-44,"Food,Adventure","17,70,4,9,43,12,69",8.2,3,"Volunteering,Museums",Adventure
35,55-64,"Relaxation,Adventure,Food,Mountains,Photography","95,74,85,18,100",7.5,4,"Cultural Tours,Cycling,Wildlife Watching",Eco-conscious
36,35-44,"Nature,Culture,Beach","87,47,51,31,40,67,5,6,35,43",4.1,1,"Swimming,Local Cuisine,Wildlife Watching,Cultural Tours,Surfing",Solo
37,25-34,"Culture,Beach,Wildlife,Adventure","51,14,34,73,99",3.1,4,"Local Cuisine,Kayaking,Eco Tours,Cycling,Hiking",Budget
38,65+,"Mountains,Relaxation,Wildlife,Beach","90,54,83,42,87,49,91",6.9,1,"Cycling,Cultural Tours,Wildlife Watching,Hiking,Eco Tours",Family
39,45-54,"Photography,Nature",,7.5,3,"Wildlife Watching,Cycling,Surfing,Eco Tours,Cultural Tours",Family
40,18-24,"Relaxation,Culture,Adventure,Nature","90,33,3,98,63,32,30,79,51,42",6.7,3,"Volunteering,Museums,Kayaking",Family
41,18-24,"Culture,Relaxation,Nature","36,20,71,45,83",9.8,5,"Surfing,Swimming,Historical Sites,Eco Tours",Eco-conscious
42,65+,"Photography,Mountains","5,86,79,37,29,7",6.1,3,"Cultural Tours,Local Cuisine,Wildlife Watching,Swimming",Luxury
43,35-44,"Mountains,Photography,Adventure,History","27,22,32",4.1,5,"Wildlife Watching,Hiking,Volunteering,Local Cuisine,Historical Sites",Solo
44,55-64,"History,Relaxation","33,90,72,22,40,96,65,95",8.6,1,"Kayaking,Surfing,Local Cuisine",Adventure
45,45-54,"Food,Wildlife,Culture","10,37,40,70,60,100,16,27,45",5.3,1,"Kayaking,Hiking,Swimming,Surfing",Cultural
