destination_id,name,country,region,climate,landscape_type,popular_activities,accommodation_types,peak_season,off_peak_season
1,Destination 1,Finland,Region 3 in Finland,Continental,Island,"Hiking,Historical Sites,Kayaking,Cycling,Local Cuisine,Surfing,Eco Tours","Hostel,Hotel,Eco-lodge",Summer,Winter
2,Destination 2,Costa Rica,Region 5 in Costa Rica,Arid,Desert,"Historical Sites,Museums,Hiking,Cultural Tours,Local Cuisine,Cycling,Eco Tours","Hostel,Eco-lodge",Winter,Summer
3,Destination 3,Japan,Region 2 in Japan,Tropical,Mountain,"Volunteering,Cultural Tours,Cycling,Hiking,Swimming,Wildlife Watching,Surfing,Kayaking","Eco-lodge,Camping,Hostel,Resort",Spring,Spring
4,Destination 4,France,Region 1 in France,Mediterranean,Island,"Cycling,Volunteering,Swimming,Kayaking,Eco Tours","Hotel,Hostel,Eco-lodge",Summer,Spring
5,Destination 5,Finland,Region 4 in Finland,Mediterranean,Island,"Wildlife Watching,Kayaking,Hiking,Swimming","Apartment,Hotel,Hostel,Eco-lodge",Spring,Spring
6,Destination 6,France,Region 1 in France,Mediterranean,Island,"Kayaking,Eco Tours,Swimming,Local Cuisine,Volunteering,Cycling,Hiking","Eco-lodge,Hostel,Hotel",Summer,Summer
7,Destination 7,Thailand,Region 4 in Thailand,Arid,Forest,"Wildlife Watching,Museums,Cycling,Eco Tours,Swimming,Volunteering,Local Cuisine","Eco-lodge,Hostel,Resort",Winter,Spring
8,Destination 8,Canada,Region 3 in Canada,Continental,Beach,"Volunteering,Historical Sites,Wildlife Watching","Camping,Hostel",Winter,Winter
9,Destination 9,Japan,Region 1 in Japan,Polar,Coastal,"Hiking,Cycling,Kayaking,Eco Tours,Swimming","Hostel,Camping",Fall,Summer
10,Destination 10,Spain,Region 1 in Spain,Arid,City,"Wildlife Watching,Cycling,Surfing,Local Cuisine,Cultural Tours,Museums,Historical Sites","Hotel,Camping,Hostel",Winter,Summer
11,Destination 11,Costa Rica,Region 3 in Costa Rica,Continental,Beach,"Historical Sites,Local Cuisine,Eco Tours,Surfing,Cycling,Museums","Resort,Hostel,Camping",Spring,Fall
12,Destination 12,New Zealand,Region 5 in New Zealand,Continental,Countryside,"Volunteering,Surfing,Museums,Cultural Tours,Local Cuisine","Apartment,Eco-lodge,Hostel,Hotel",Year-round,Fall
13,Destination 13,Indonesia,Region 2 in Indonesia,Continental,Countryside,"Historical Sites,Local Cuisine,Cycling,Eco Tours,Cultural Tours","Hotel,Apartment,Hostel,Eco-lodge",Fall,Winter
14,Destination 14,France,Region 1 in France,Continental,Beach,"Hiking,Historical Sites,Cultural Tours","Camping,Resort,Hotel",Fall,Fall
15,Destination 15,Canada,Region 2 in Canada,Tropical,Forest,"Volunteering,Cultural Tours,Swimming,Surfing,Local Cuisine,Cycling","Eco-lodge,Hotel,Camping",Summer,Winter
16,Destination 16,Spain,Region 4 in Spain,Mediterranean,Forest,"Kayaking,Historical Sites,Hiking,Wildlife Watching,Surfing,Swimming","Resort,Eco-lodge,Hostel",Fall,Summer
17,Destination 17,Costa Rica,Region 3 in Costa Rica,Tropical,Desert,"Kayaking,Cultural Tours,Eco Tours,Local Cuisine","Resort,Hostel",Fall,Summer
18,Destination 18,Spain,Region 2 in Spain,Continental,Coastal,"Kayaking,Cultural Tours,Wildlife Watching","Camping,Hotel",Fall,Summer
19,Destination 19,New Zealand,Region 1 in New Zealand,Arid,Lake,"Historical Sites,Swimming,Volunteering,Cultural Tours","Eco-lodge,Resort,Hostel,Hotel",Summer,Summer
