activity_id,name,description,destination_id,category,environmental_impact_score,local_community_benefit_score,resource_consumption_score,seasonal_availability
1,Volunteer Activity 1,This is a volunteer activity in destination 1,1,Volunteer,4.8,8.7,3.2,Year-round
2,Relaxation Activity 2,This is a relaxation activity in destination 1,1,Relaxation,4.6,8.9,6.0,Year-round
3,Adventure Activity 3,This is a adventure activity in destination 1,1,Adventure,4.1,4.7,7.0,Spring/Fall
4,Volunteer Activity 4,This is a volunteer activity in destination 1,1,Volunteer,4.6,7.6,8.9,Seasonal
5,Relaxation Activity 5,This is a relaxation activity in destination 2,2,Relaxation,4.4,6.2,4.8,Spring/Fall
6,Relaxation Activity 6,This is a relaxation activity in destination 2,2,Relaxation,5.1,8.0,3.3,Year-round
7,Cultural Activity 7,This is a cultural activity in destination 2,2,Cultural,3.2,8.3,9.4,Seasonal
8,Nature Activity 8,This is a nature activity in destination 2,2,Nature,1.9,9.6,9.7,Summer only
9,Relaxation Activity 9,This is a relaxation activity in destination 3,3,Relaxation,6.2,6.6,3.4,Summer only
10,Nature Activity 10,This is a nature activity in destination 3,3,Nature,3.6,9.4,4.3,Spring/Fall
11,Educational Activity 11,This is a educational activity in destination 3,3,Educational,3.7,6.6,4.5,Year-round
12,Relaxation Activity 12,This is a relaxation activity in destination 3,3,Relaxation,5.8,4.8,2.2,Seasonal
13,Volunteer Activity 13,This is a volunteer activity in destination 3,3,Volunteer,4.0,7.2,9.6,Winter only
14,Relaxation Activity 14,This is a relaxation activity in destination 4,4,Relaxation,4.7,4.0,5.6,Spring/Fall
15,Educational Activity 15,This is a educational activity in destination 4,4,Educational,5.7,5.8,7.0,Winter only
16,Relaxation Activity 16,This is a relaxation activity in destination 4,4,Relaxation,5.9,8.8,5.0,Seasonal
17,Volunteer Activity 17,This is a volunteer activity in destination 4,4,Volunteer,4.9,9.6,6.0,Seasonal
18,Relaxation Activity 18,This is a relaxation activity in destination 4,4,Relaxation,6.5,4.4,4.9,Seasonal
19,Cultural Activity 19,This is a cultural activity in destination 5,5,Cultural,5.4,4.2,8.4,Summer only
20,Culinary Activity 20,This is a culinary activity in destination 5,5,Culinary,3.0,8.4,2.4,Seasonal
21,Educational Activity 21,This is a educational activity in destination 5,5,Educational,4.4,4.5,4.5,Year-round
22,Cultural Activity 22,This is a cultural activity in destination 5,5,Cultural,4.7,5.9,7.8,Year-round
23,Cultural Activity 23,This is a cultural activity in destination 5,5,Cultural,5.6,8.2,9.0,Year-round
24,Nature Activity 24,This is a nature activity in destination 6,6,Nature,4.9,6.1,4.1,Winter only
25,Volunteer Activity 25,This is a volunteer activity in destination 6,6,Volunteer,2.0,7.5,4.4,Winter only
26,Educational Activity 26,This is a educational activity in destination 6,6,Educational,6.4,5.7,8.1,Year-round
27,Educational Activity 27,This is a educational activity in destination 6,6,Educational,5.4,5.1,2.7,Seasonal
28,Volunteer Activity 28,This is a volunteer activity in destination 6,6,Volunteer,4.2,9.4,1.0,Summer only
29,Nature Activity 29,This is a nature activity in destination 6,6,Nature,2.8,8.8,9.4,Winter only
30,Cultural Activity 30,This is a cultural activity in destination 7,7,Cultural,5.6,4.0,8.0,Summer only
31,Relaxation Activity 31,This is a relaxation activity in destination 7,7,Relaxation,3.5,7.0,7.6,Spring/Fall
32,Volunteer Activity 32,This is a volunteer activity in destination 8,8,Volunteer,2.1,8.0,9.4,Summer only
33,Volunteer Activity 33,This is a volunteer activity in destination 8,8,Volunteer,4.2,7.9,5.3,Year-round
34,Educational Activity 34,This is a educational activity in destination 8,8,Educational,3.1,6.3,5.6,Winter only
35,Relaxation Activity 35,This is a relaxation activity in destination 8,8,Relaxation,5.9,8.7,2.9,Summer only
36,Cultural Activity 36,This is a cultural activity in destination 8,8,Cultural,5.1,8.8,2.6,Summer only
37,Cultural Activity 37,This is a cultural activity in destination 8,8,Cultural,6.8,7.3,3.2,Winter only
38,Cultural Activity 38,This is a cultural activity in destination 9,9,Cultural,6.4,7.2,7.2,Summer only
39,Culinary Activity 39,This is a culinary activity in destination 9,9,Culinary,4.4,6.1,7.7,Summer only
