destination_id,name,country,region,climate,landscape_type,popular_activities,accommodation_types,peak_season,off_peak_season
1,Destination 1,Canada,Region 4 in Canada,Polar,Beach,"Wildlife Watching,Volunteering,Historical Sites,Museums,Local Cuisine,Hiking,Eco Tours,Kayaking","Camping,Hostel",Winter,Winter
2,Destination 2,Japan,Region 1 in Japan,Tropical,Mountain,"Historical Sites,Hiking,Eco Tours,Volunteering","Hostel,Eco-lodge,Resort,Hotel",Year-round,Spring
3,Destination 3,Sweden,Region 4 in Sweden,Polar,Countryside,"Museums,Surfing,Volunteering,Local Cuisine","Hostel,Apartment,Resort",Year-round,Winter
4,Destination 4,Greece,Region 1 in Greece,Tropical,River,"Volunteering,Kayaking,Hiking","Hostel,Apartment,Camping",Fall,Fall
5,Destination 5,Norway,Region 3 in Norway,Tropical,Lake,"Eco Tours,Local Cuisine,Surfing,Museums,Hiking","Eco-lodge,Camping",Year-round,Winter
6,Destination 6,New Zealand,Region 4 in New Zealand,Tropical,Island,"Historical Sites,Kayaking,Museums,Cycling,Volunteering","Resort,Hostel,Hotel",Summer,Winter
7,Destination 7,Finland,Region 1 in Finland,Tropical,Beach,"Historical Sites,Hiking,Eco Tours,Kayaking,Museums,Cultural Tours","Hostel,Eco-lodge,Resort",Year-round,Summer
8,Destination 8,Japan,Region 1 in Japan,Arid,River,"Local Cuisine,Eco Tours,Surfing,Museums","Camping,Hostel,Eco-lodge,Apartment",Winter,Summer
9,Destination 9,Canada,Region 4 in Canada,Polar,Island,"Wildlife Watching,Surfing,Kayaking,Eco Tours,Museums,Swimming,Local Cuisine","Eco-lodge,Camping,Resort,Hostel",Summer,Winter
10,Destination 10,Indonesia,Region 4 in Indonesia,Continental,City,"Eco Tours,Historical Sites,Surfing,Kayaking,Wildlife Watching,Cultural Tours","Camping,Eco-lodge,Apartment,Hotel",Spring,Winter
11,Destination 11,Iceland,Region 1 in Iceland,Continental,Desert,"Hiking,Kayaking,Historical Sites,Cultural Tours","Apartment,Resort,Hotel",Year-round,Fall
12,Destination 12,New Zealand,Region 3 in New Zealand,Arid,River,"Hiking,Swimming,Surfing,Eco Tours,Cultural Tours,Wildlife Watching","Eco-lodge,Camping,Hostel,Resort",Year-round,Winter
13,Destination 13,Spain,Region 5 in Spain,Arid,Countryside,"Local Cuisine,Wildlife Watching,Cycling,Museums,Eco Tours,Hiking","Eco-lodge,Apartment,Camping,Hotel",Year-round,Summer
14,Destination 14,Iceland,Region 4 in Iceland,Arid,Desert,"Hiking,Swimming,Cultural Tours,Cycling,Local Cuisine,Surfing,Wildlife Watching,Museums","Apartment,Eco-lodge",Fall,Summer
15,Destination 15,Indonesia,Region 1 in Indonesia,Tropical,Lake,"Historical Sites,Cycling,Cultural Tours,Hiking,Volunteering,Local Cuisine,Wildlife Watching,Museums","Hotel,Camping,Resort",Summer,Summer
