destination_id,carbon_footprint_score,water_consumption_score,waste_management_score,biodiversity_impact_score,local_economy_support_score,conservation_initiatives,eco_certifications,sustainable_transportation_options,overall_sustainability_score
1,3.7,4.7,3.3,3.5,2.9,4 active conservation projects,EarthCheck,"Public Transit,Walking Paths",3.66
2,7.9,8.1,10.0,10.0,9.3,3 active conservation projects,"EarthCheck,Green Key","Public Transit,Bike Sharing",8.99
3,5.1,7.6,4.2,6.1,5.8,1 active conservation projects,Blue Flag,"Electric Vehicles,Walking Paths",5.72
4,7.8,9.4,9.3,7.2,6.8,1 active conservation projects,"EarthCheck,Green Globe",,8.15
5,1.4,2.6,1.2,1.2,3.0,2 active conservation projects,None,"Public Transit,Bike Sharing,Walking Paths",1.78
6,4.6,4.9,4.5,5.0,5.6,0 active conservation projects,LEED,,4.88
7,10.0,9.0,9.1,8.6,10.0,0 active conservation projects,"Blue Flag,Green Key,EarthCheck","Bike Sharing,Walking Paths",9.33
8,9.0,8.2,6.4,8.5,10.0,4 active conservation projects,"Green Globe,Green Key","Bike Sharing,Public Transit,Electric Vehicles,Walking Paths",8.38
9,8.2,9.7,7.7,7.2,9.2,0 active conservation projects,"EarthCheck,LEED","Walking Paths,Public Transit",8.34
10,10.0,7.5,7.5,7.8,8.5,3 active conservation projects,"Green Globe,EarthCheck","Bike Sharing,Electric Vehicles,Public Transit",8.32
11,5.9,8.3,5.7,8.2,5.1,3 active conservation projects,"EarthCheck,Green Globe","Electric Vehicles,Walking Paths,Bike Sharing",6.69
12,8.9,7.0,9.9,8.8,8.1,5 active conservation projects,"Blue Flag,LEED","Bike Sharing,Walking Paths",8.56
13,3.8,3.1,6.4,5.1,4.7,1 active conservation projects,Green Key,"Walking Paths,Bike Sharing,Electric Vehicles,Public Transit",4.57
14,8.6,10.0,9.5,7.6,7.6,4 active conservation projects,"LEED,EarthCheck","Public Transit,Electric Vehicles,Walking Paths",8.71
15,10.0,10.0,10.0,10.0,9.8,2 active conservation projects,"Green Key,Blue Flag,LEED","Walking Paths,Bike Sharing,Electric Vehicles",9.98
16,2.5,4.3,3.4,1.4,2.1,2 active conservation projects,None,,2.75
17,10.0,9.3,6.8,9.4,8.3,0 active conservation projects,"EarthCheck,Blue Flag","Electric Vehicles,Bike Sharing,Walking Paths,Public Transit",8.85
18,10.0,10.0,9.1,9.0,10.0,1 active conservation projects,"LEED,EarthCheck,Green Key",Bike Sharing,9.61
19,6.6,8.4,8.3,9.6,9.3,1 active conservation projects,"Green Key,Green Globe",Public Transit,8.31
20,6.7,8.7,6.4,9.0,6.8,0 active conservation projects,"Green Key,Blue Flag","Walking Paths,Electric Vehicles,Bike Sharing,Public Transit",7.52
21,4.5,5.8,7.0,6.8,5.3,4 active conservation projects,Blue Flag,"Bike Sharing,Walking Paths",5.83
22,6.3,4.6,3.7,6.3,4.4,3 active conservation projects,Green Key,"Walking Paths,Public Transit,Electric Vehicles",5.16
23,9.2,8.0,7.0,8.0,10.0,4 active conservation projects,"Green Key,LEED",Public Transit,8.41
24,6.5,9.4,8.4,9.8,6.3,4 active conservation projects,"Green Globe,Blue Flag","Walking Paths,Public Transit,Electric Vehicles",8.08
25,10.0,8.3,8.0,10.0,9.3,2 active conservation projects,"Green Globe,Blue Flag,EarthCheck","Bike Sharing,Walking Paths,Public Transit,Electric Vehicles",9.15
26,1.5,4.7,3.2,3.4,4.5,1 active conservation projects,Green Globe,Public Transit,3.33
27,10.0,7.8,10.0,9.5,10.0,2 active conservation projects,"LEED,EarthCheck,Green Key",Bike Sharing,9.46
28,10.0,10.0,9.7,7.6,10.0,0 active conservation projects,"Green Key,LEED,EarthCheck","Walking Paths,Electric Vehicles",9.47
29,8.1,7.1,7.7,6.2,6.2,1 active conservation projects,"Green Key,EarthCheck",Walking Paths,7.18
30,2.0,1.9,3.9,2.6,4.7,4 active conservation projects,None,"Electric Vehicles,Public Transit",2.87
31,4.0,3.1,2.1,2.0,4.3,4 active conservation projects,Green Key,Electric Vehicles,3.08
32,9.4,9.1,8.2,10.0,8.3,2 active conservation projects,"Green Globe,LEED,Blue Flag","Walking Paths,Public Transit,Electric Vehicles,Bike Sharing",9.05
33,8.4,8.1,9.3,8.2,10.0,1 active conservation projects,"Green Globe,LEED","Public Transit,Electric Vehicles,Bike Sharing,Walking Paths",8.72
34,5.0,4.5,5.5,5.9,4.9,0 active conservation projects,Green Globe,Electric Vehicles,5.15
35,6.2,3.1,2.7,6.0,6.0,4 active conservation projects,Blue Flag,Public Transit,4.81
36,8.1,4.9,5.4,7.9,8.3,3 active conservation projects,"Blue Flag,Green Key",Electric Vehicles,6.92
37,5.8,4.6,4.5,7.9,7.2,5 active conservation projects,LEED,"Public Transit,Walking Paths",5.94
38,4.3,2.8,5.8,5.1,3.9,1 active conservation projects,Blue Flag,"Walking Paths,Public Transit,Bike Sharing,Electric Vehicles",4.39
39,7.4,8.6,7.6,9.0,10.0,1 active conservation projects,"Green Key,Green Globe","Walking Paths,Public Transit,Electric Vehicles",8.39
40,6.1,3.5,5.2,3.5,3.8,4 active conservation projects,Green Key,"Electric Vehicles,Walking Paths,Bike Sharing",4.52
41,3.2,5.4,3.4,6.6,6.7,3 active conservation projects,Green Key,"Walking Paths,Electric Vehicles,Public Transit",4.87
42,7.1,7.7,9.7,8.4,8.3,0 active conservation projects,"Green Globe,Green Key",,8.18
43,4.7,2.0,4.5,3.4,4.8,3 active conservation projects,Blue Flag,,3.86
44,10.0,10.0,8.1,9.9,8.3,4 active conservation projects,"LEED,Green Key,Blue Flag","Public Transit,Electric Vehicles,Walking Paths",9.35
45,6.4,6.8,8.0,7.2,7.2,3 active conservation projects,"Green Key,Green Globe",Walking Paths,7.1
46,3.1,4.2,6.0,2.4,3.2,3 active conservation projects,Green Globe,"Walking Paths,Electric Vehicles,Public Transit",3.78
47,7.1,9.6,8.8,8.6,6.4,5 active conservation projects,"Green Key,LEED",Public Transit,8.14
48,8.4,10.0,10.0,8.0,7.8,2 active conservation projects,"Green Globe,LEED","Public Transit,Bike Sharing",8.86
49,8.9,8.0,8.4,7.7,7.2,4 active conservation projects,"LEED,Green Globe","Bike Sharing,Public Transit",8.13
50,10.0,8.0,9.7,10.0,9.8,2 active conservation projects,"LEED,EarthCheck,Blue Flag",,9.51
51,10.0,9.0,10.0,8.7,10.0,0 active conservation projects,"LEED,Green Globe,EarthCheck","Bike Sharing,Public Transit,Electric Vehicles",9.55
52,3.1,5.4,3.4,4.6,3.0,2 active conservation projects,Green Key,"Public Transit,Electric Vehicles,Bike Sharing,Walking Paths",3.9
53,5.3,6.2,7.1,5.0,4.5,2 active conservation projects,Blue Flag,"Walking Paths,Electric Vehicles,Public Transit",5.63
54,5.9,6.1,3.2,5.5,6.1,4 active conservation projects,EarthCheck,"Public Transit,Electric Vehicles",5.35
55,3.0,2.6,4.9,1.4,3.7,3 active conservation projects,EarthCheck,,3.08
56,8.2,10.0,9.6,10.0,8.7,3 active conservation projects,"EarthCheck,Green Globe,Green Key","Walking Paths,Bike Sharing,Public Transit",9.28
57,6.8,5.8,5.7,6.5,7.4,2 active conservation projects,"Blue Flag,EarthCheck","Public Transit,Electric Vehicles,Bike Sharing",6.4
58,6.4,9.7,8.4,9.4,7.9,3 active conservation projects,"Blue Flag,EarthCheck",,8.27
59,5.4,4.1,5.0,5.4,4.6,0 active conservation projects,EarthCheck,Public Transit,4.96
60,2.7,5.0,5.6,3.6,2.8,1 active conservation projects,Green Globe,"Walking Paths,Electric Vehicles,Bike Sharing",3.94
61,4.6,6.0,4.9,4.3,5.1,2 active conservation projects,Blue Flag,,4.95
62,8.9,7.6,8.9,10.0,10.0,2 active conservation projects,"LEED,Blue Flag,Green Key","Walking Paths,Public Transit,Electric Vehicles",9.02
63,9.6,10.0,9.5,10.0,10.0,1 active conservation projects,"EarthCheck,Green Globe,LEED","Public Transit,Electric Vehicles",9.81
64,9.1,10.0,9.2,9.3,8.7,2 active conservation projects,"Green Key,LEED,Green Globe","Walking Paths,Public Transit,Electric Vehicles",9.28
65,10.0,10.0,8.1,10.0,9.1,4 active conservation projects,"EarthCheck,Blue Flag,Green Key","Walking Paths,Bike Sharing,Electric Vehicles",9.48
66,3.5,2.9,3.9,3.7,2.3,5 active conservation projects,LEED,,3.32
67,6.9,5.2,6.6,6.6,6.8,4 active conservation projects,"Green Globe,LEED","Walking Paths,Bike Sharing",6.43
68,5.7,7.2,6.5,5.9,7.8,3 active conservation projects,"LEED,Green Globe","Public Transit,Electric Vehicles,Bike Sharing,Walking Paths",6.52
69,4.6,3.1,5.2,5.9,4.6,4 active conservation projects,Green Globe,"Bike Sharing,Public Transit,Walking Paths,Electric Vehicles",4.67
70,1.2,4.9,3.3,4.8,1.9,5 active conservation projects,Green Globe,"Electric Vehicles,Public Transit",3.19
71,4.8,3.9,3.6,5.1,6.0,1 active conservation projects,Green Globe,"Electric Vehicles,Public Transit",4.6
72,9.1,8.9,8.9,8.1,10.0,4 active conservation projects,"Green Key,EarthCheck",,8.94
73,7.5,8.2,9.2,6.4,8.4,0 active conservation projects,"EarthCheck,Green Key",Electric Vehicles,7.9
74,5.9,6.6,5.8,5.0,7.2,2 active conservation projects,"Green Globe,LEED",Public Transit,6.03
75,6.0,7.9,6.5,8.9,9.5,2 active conservation projects,"EarthCheck,Green Key",,7.59
